iter	Passed	Remaining
0	69	69070
1	69	34748
2	70	23294
3	70	17544
4	70	14089
5	71	11777
6	71	10128
7	71	8889
8	71	7924
9	72	7152
10	72	6520
11	72	6000
12	73	5555
13	73	5171
14	73	4841
15	74	4557
16	74	4300
17	74	4070
18	74	3868
19	75	3684
20	75	3518
21	75	3366
22	75	3227
23	76	3105
24	76	2988
25	76	2876
26	77	2775
27	77	2680
28	77	2595
29	77	2515
30	78	2452
31	78	2383
32	79	2318
33	83	2378
34	85	2353
35	85	2300
36	86	2245
37	87	2206
38	87	2162
39	88	2117
40	88	2077
41	89	2039
42	89	1997
43	101	2204
44	102	2178
45	103	2136
46	103	2095
47	103	2056
48	104	2023
49	105	2005
50	105	1970
51	106	1936
52	106	1906
53	107	1876
54	107	1847
55	107	1817
56	108	1788
57	108	1760
58	108	1734
59	109	1709
60	109	1683
61	110	1664
62	111	1659
63	112	1639
64	112	1619
65	112	1597
66	113	1579
67	120	1646
68	121	1641
69	123	1635
70	123	1620
71	124	1601
72	124	1581
73	126	1578
74	126	1562
75	127	1546
76	127	1530
77	128	1517
78	128	1500
79	130	1502
80	132	1504
81	137	1537
82	137	1522
83	138	1508
84	138	1492
85	138	1477
86	139	1464
87	140	1458
88	141	1443
89	141	1430
90	141	1415
91	142	1403
92	142	1392
93	143	1379
94	144	1373
95	144	1360
96	144	1347
97	145	1336
98	145	1324
99	145	1312
100	146	1301
101	149	1316
102	153	1335
103	154	1328
104	154	1317
105	155	1307
106	155	1296
107	156	1288
108	156	1280
109	157	1270
110	158	1266
111	158	1259
112	159	1251
113	159	1243
114	160	1235
115	160	1226
116	161	1216
117	163	1225
118	164	1218
119	164	1208
120	165	1199
121	165	1191
122	165	1183
123	167	1185
124	168	1179
125	169	1174
126	169	1166
127	170	1159
128	172	1161
129	172	1154
130	172	1146
131	173	1139
132	173	1132
133	174	1124
134	174	1117
135	174	1109
136	174	1102
137	175	1095
138	175	1088
139	175	1080
140	176	1074
141	176	1067
142	176	1060
143	177	1054
144	179	1055
145	179	1050
146	180	1044
147	180	1039
148	181	1034
149	182	1031
150	182	1025
151	184	1028
152	186	1033
153	187	1032
154	188	1028
155	189	1023
156	189	1017
157	189	1011
158	190	1007
159	190	1001
160	191	996
161	191	990
162	192	988
163	192	983
164	193	978
165	193	973
166	194	970
167	195	965
168	195	961
169	196	957
170	196	951
171	197	948
172	199	954
173	200	950
174	200	946
175	201	942
176	201	938
177	202	933
178	202	930
179	203	925
180	203	921
181	204	920
182	205	915
183	205	912
184	208	917
185	208	914
186	209	910
187	209	906
188	210	902
189	211	900
190	211	896
191	212	892
192	212	889
193	213	887
194	214	885
195	215	883
196	216	882
197	216	878
198	217	875
199	217	871
200	218	868
201	218	864
202	220	866
203	221	862
204	221	859
205	222	855
206	222	852
207	222	848
208	223	844
209	224	843
210	225	841
211	226	840
212	226	838
213	228	841
214	229	839
215	230	836
216	231	836
217	233	837
218	235	841
219	236	837
220	237	836
221	237	832
222	238	829
223	238	825
224	238	822
225	239	819
226	239	815
227	239	812
228	240	809
229	240	805
230	242	806
231	242	803
232	243	800
233	245	803
234	246	802
235	246	799
236	247	796
237	247	793
238	248	790
239	248	787
240	249	784
241	249	781
242	249	778
243	253	784
