iter	RMSE
0	14.47389515
1	14.13162086
2	13.78053734
3	13.4514553
4	13.16957497
5	12.87810399
6	12.59714693
7	12.33594697
8	12.02893481
9	11.76411118
10	11.52857385
11	11.27447969
12	11.02116686
13	10.79145018
14	10.59033392
15	10.37885161
16	10.19138875
17	10.00777709
18	9.801907305
19	9.609376889
20	9.416678322
21	9.26506059
22	9.098983927
23	8.953317799
24	8.797299565
25	8.694662657
26	8.545806616
27	8.409840723
28	8.265938401
29	8.137921885
30	8.027427975
31	7.914088889
32	7.807275882
33	7.703090834
34	7.608886308
35	7.510797445
36	7.411819033
37	7.32202377
38	7.238630323
39	7.157916289
40	7.078040525
41	6.997352298
42	6.920853862
43	6.849925609
44	6.792791778
45	6.728805917
46	6.661133811
47	6.603742992
48	6.541162036
49	6.484484511
50	6.432585211
51	6.376913364
52	6.321160901
53	6.282261353
54	6.239256645
55	6.195801036
56	6.155338389
57	6.114320852
58	6.075745039
59	6.034287012
60	5.99578754
61	5.95806048
62	5.920927332
63	5.887299351
64	5.857200183
65	5.82969391
66	5.801839183
67	5.782833608
68	5.759506883
69	5.731364681
70	5.706717947
71	5.686642129
72	5.668827352
73	5.645178535
74	5.628082889
75	5.606646636
76	5.588673324
77	5.573919517
78	5.554324812
79	5.53447781
80	5.514303511
81	5.498445979
82	5.486973234
83	5.47201064
84	5.4597237
85	5.443955454
86	5.430021831
87	5.417934601
88	5.405795915
89	5.398637151
90	5.382683208
91	5.370612492
92	5.361196731
93	5.352323923
94	5.339442554
95	5.330391869
96	5.314273039
97	5.304376819
98	5.294154292
99	5.285317423
100	5.274026371
101	5.262559637
102	5.253255162
103	5.242946954
104	5.235847362
105	5.229217983
106	5.220640027
107	5.210812419
108	5.200717532
109	5.187964527
110	5.178089017
111	5.170866863
112	5.1604312
113	5.153470351
114	5.145832484
115	5.13986224
116	5.134398448
117	5.12812996
118	5.123045841
119	5.115475305
120	5.108450227
121	5.102299377
122	5.096342072
123	5.087139922
124	5.080339722
125	5.073278463
126	5.069081642
127	5.063832217
128	5.058738228
129	5.051322996
130	5.046385696
131	5.039343477
132	5.035026504
133	5.029995449
134	5.026076082
135	5.020429509
136	5.014556781
137	5.009684457
138	5.002804299
139	5.001753106
140	4.993381336
141	4.989270741
142	4.984176259
143	4.978130211
144	4.971490279
145	4.968668974
146	4.963449239
147	4.961441173
148	4.955689893
149	4.951918417
150	4.947374763
151	4.941946528
152	4.93792147
153	4.934949464
154	4.929988333
155	4.925355482
156	4.922541155
157	4.919096905
158	4.913521804
159	4.911495263
160	4.904856016
161	4.902844276
162	4.89780035
163	4.895921918
164	4.888492606
165	4.88484601
166	4.882229361
167	4.880856192
168	4.877801713
169	4.874377376
170	4.870127626
171	4.866140798
172	4.862058535
173	4.857996475
174	4.852752403
175	4.843729214
176	4.841188001
177	4.836737223
178	4.832999846
179	4.827464966
180	4.823326351
181	4.819100213
182	4.812657953
183	4.80773397
184	4.805377007
185	4.798595732
186	4.79220354
187	4.789542592
188	4.787499294
189	4.782581355
190	4.77831921
191	4.774543972
192	4.76987049
193	4.766540224
194	4.763791701
195	4.758130367
196	4.7542004
197	4.749408822
198	4.745348642
199	4.739196852
200	4.734640765
201	4.732100827
202	4.728518193
203	4.722440276
204	4.717663492
205	4.714305966
206	4.709671833
207	4.707296085
208	4.701103282
209	4.695737421
210	4.690621567
211	4.688626113
212	4.686733519
213	4.68285344
214	4.682061601
215	4.68104671
216	4.678185206
217	4.675984918
218	4.67289939
219	4.671204996
220	4.667811378
221	4.664967567
222	4.662895734
223	4.659875272
224	4.654760629
225	4.649780054
226	4.646652458
227	4.646159537
228	4.64381488
229	4.639675904
230	4.635141513
231	4.633789068
232	4.627315093
233	4.623639448
234	4.622643019
235	4.617004002
236	4.614935263
237	4.612865001
238	4.608837206
239	4.608088406
240	4.603332353
241	4.597557528
242	4.594292598
243	4.588883951
244	4.585702501
245	4.585032696
246	4.583377436
247	4.579262658
248	4.575264561
249	4.570870507
250	4.566669803
251	4.5634471
252	4.561175475
253	4.559164688
254	4.552920673
255	4.548923264
256	4.54855921
257	4.541969175
258	4.539211077
259	4.537182163
260	4.536474816
261	4.53456304
262	4.53344353
263	4.531433328
264	4.527155695
265	4.526279991
266	4.522188033
267	4.519157489
268	4.517644616
269	4.514986707
270	4.512856484
271	4.510507064
272	4.505755332
273	4.502374897
274	4.496668574
275	4.492155744
276	4.490090825
277	4.486513308
278	4.483790227
279	4.479547045
280	4.473053683
281	4.4707612
282	4.468498738
283	4.466639299
284	4.463805284
285	4.46196356
286	4.461440067
287	4.455793983
288	4.448776096
289	4.442983409
290	4.435316648
291	4.43225069
292	4.432072047
293	4.427104324
294	4.425574545
295	4.424124497
296	4.419177191
297	4.416725762
298	4.410657302
299	4.406197175
300	4.405442281
301	4.402663453
302	4.402526244
303	4.402338009
304	4.398717443
305	4.39668532
306	4.394008053
307	4.390755827
308	4.387613895
309	4.384137211
310	4.380070796
311	4.379402657
312	4.376575428
313	4.372437734
314	4.367324463
315	4.365157014
316	4.359407208
317	4.354709235
318	4.354298453
319	4.350410075
320	4.349143033
321	4.345653856
322	4.338002795
323	4.336368377
324	4.331513191
325	4.329856551
326	4.325985477
327	4.322348141
328	4.320116903
329	4.318001652
330	4.313782134
331	4.313198999
332	4.307164073
333	4.304076137
334	4.299581278
335	4.296250543
336	4.291542882
337	4.289561751
338	4.286982951
339	4.285075182
340	4.280200225
341	4.277037471
342	4.275074545
343	4.273905975
344	4.269896273
345	4.268393919
346	4.265460873
347	4.258770492
348	4.256222282
349	4.251022771
350	4.247319781
351	4.244131957
352	4.240784265
353	4.238599211
354	4.23506315
355	4.232407528
356	4.230505218
357	4.225129274
358	4.218627819
359	4.216626519
360	4.214365445
361	4.213810639
362	4.211822384
363	4.208888424
364	4.205493918
365	4.198809135
366	4.195335933
367	4.192346601
368	4.190437321
369	4.185770332
370	4.180463241
371	4.179800329
372	4.178706001
373	4.176663745
374	4.175608785
375	4.169916795
376	4.167151248
377	4.165184644
378	4.162856275
379	4.161024078
380	4.157607978
381	4.154191413
382	4.152193637
383	4.150506657
384	4.14902755
385	4.145232644
386	4.140534218
387	4.136539483
388	4.132153073
389	4.131766603
390	4.128243269
391	4.125622723
392	4.125317958
393	4.122493049
394	4.11875796
395	4.116161725
396	4.113307981
397	4.112668554
398	4.110444539
399	4.108841402
400	4.10532591
401	4.099231347
402	4.097353265
403	4.094170558
404	4.090038436
405	4.086897429
406	4.084535318
407	4.083684684
408	4.082320445
409	4.078692665
410	4.07756621
411	4.077451415
412	4.073725658
413	4.07019146
414	4.066487087
415	4.062140688
416	4.060377883
417	4.058359036
418	4.051334264
419	4.048046757
420	4.045895807
421	4.044600771
422	4.042590975
423	4.039761558
424	4.036988323
425	4.034342993
426	4.03296012
427	4.032866902
428	4.02841835
429	4.021394757
430	4.021291952
431	4.019160976
432	4.017188955
433	4.014656102
434	4.012470578
435	4.009513152
436	4.006820623
437	4.002520628
438	4.00023435
439	3.999226556
440	3.995739958
441	3.994083614
442	3.99394931
443	3.990640323
444	3.987713395
445	3.983935316
446	3.981006996
447	3.978748186
448	3.978387751
449	3.976555991
450	3.973878328
451	3.969899854
452	3.968609116
453	3.961786575
454	3.961095313
455	3.957743355
456	3.956292942
457	3.955205143
458	3.952072749
459	3.951987599
460	3.950531047
461	3.95041715
462	3.948554039
463	3.947710162
464	3.942914782
465	3.941340339
466	3.939780676
467	3.936258305
468	3.932968031
469	3.930564167
470	3.928238261
471	3.924291044
472	3.920977571
473	3.916099567
474	3.914205553
475	3.909753707
476	3.908096828
477	3.905807859
478	3.905177118
479	3.902827339
480	3.901238272
481	3.895284913
482	3.895010001
483	3.892939393
484	3.889734849
485	3.888519374
486	3.885620766
487	3.883478194
488	3.880572631
489	3.877654123
490	3.87630664
491	3.874812604
492	3.873229685
493	3.872347222
494	3.870912801
495	3.868677247
496	3.86602987
497	3.862052129
498	3.859647488
499	3.858810063
500	3.855726341
