iter	Passed	Remaining
0	5	5860
1	6	3109
2	6	2157
3	6	1677
4	7	1399
5	7	1201
6	7	1061
7	7	955
8	7	872
9	8	806
10	8	751
11	8	706
12	8	668
13	9	634
14	9	605
15	9	580
16	9	575
17	10	552
18	10	533
19	10	516
20	10	501
21	10	487
22	11	475
23	11	463
24	11	452
25	11	438
26	11	429
27	12	418
28	12	411
29	12	404
30	12	397
31	12	391
32	13	385
33	13	380
34	13	374
35	13	370
36	14	365
37	14	360
38	14	356
39	14	353
40	14	349
41	15	345
42	15	342
43	15	338
44	15	335
45	16	332
46	16	329
47	16	326
48	16	323
49	16	321
50	17	318
51	17	315
52	17	313
53	17	310
54	17	308
55	18	306
56	18	304
57	18	303
58	18	302
59	19	300
60	19	301
61	20	302
62	20	303
63	20	302
64	20	301
65	21	299
66	21	298
67	21	296
68	21	296
69	22	294
70	22	293
71	22	291
72	22	289
73	23	288
74	23	286
75	23	285
76	23	283
77	23	282
78	24	281
79	24	280
80	24	279
81	24	277
82	24	275
83	25	274
84	25	273
85	25	272
86	25	271
87	26	270
88	26	269
89	26	267
90	26	266
91	26	265
92	27	264
93	27	263
94	27	262
95	27	261
96	27	260
97	28	259
98	28	258
99	28	257
100	28	256
101	29	255
102	29	254
103	29	254
104	29	253
105	29	252
106	30	251
107	30	250
108	30	250
109	30	249
110	31	248
111	31	247
112	31	246
113	31	245
114	31	245
115	32	244
116	32	243
117	32	242
118	32	242
119	32	241
120	33	240
121	34	244
122	34	244
123	34	243
124	35	251
125	36	252
126	36	251
127	36	251
128	37	250
129	37	250
130	37	249
131	37	248
132	38	248
133	38	247
134	38	247
135	38	246
136	38	245
137	39	245
138	39	244
139	39	243
140	39	242
141	40	242
142	40	241
143	40	240
144	40	240
145	41	240
146	41	239
147	41	238
148	41	238
149	42	238
150	42	237
151	42	236
152	42	236
153	42	235
154	43	235
155	43	234
156	43	233
157	43	233
158	44	232
159	44	232
160	44	231
161	44	231
162	44	230
163	45	230
164	45	229
165	45	228
166	45	228
167	45	227
168	46	227
169	46	226
170	46	226
171	46	225
172	47	225
173	47	224
174	47	224
175	47	223
176	48	223
177	48	222
178	48	222
179	48	221
180	48	221
181	49	220
182	49	220
183	49	220
184	50	220
185	50	220
186	50	219
187	50	219
188	51	218
189	51	218
190	51	218
191	51	217
192	51	217
193	52	216
194	52	216
195	52	216
196	52	215
197	53	215
198	53	215
199	53	214
200	53	214
201	54	213
202	54	213
203	54	213
204	54	212
205	55	212
206	55	211
207	55	211
208	55	210
209	55	210
210	56	210
211	56	209
212	56	209
213	56	209
214	57	208
215	57	208
216	57	207
217	57	207
218	58	207
219	58	206
220	58	206
221	58	205
222	58	205
223	59	204
224	59	204
225	59	204
226	59	203
227	60	203
228	60	203
229	60	202
230	60	202
231	61	201
232	61	201
233	61	201
234	61	200
235	61	200
236	62	200
237	62	199
238	62	199
239	62	199
240	63	198
241	63	198
242	63	198
243	63	198
244	64	197
245	64	197
246	64	197
247	64	196
248	65	196
249	65	196
250	65	195
251	65	195
252	66	195
253	66	194
254	66	194
255	66	194
256	67	194
257	67	193
258	67	193
259	67	193
260	68	192
261	68	192
262	68	191
263	68	191
264	69	191
265	69	191
266	69	190
267	69	190
268	70	190
269	70	189
270	71	192
271	71	192
272	72	192
273	72	191
274	72	191
275	72	191
276	73	190
277	73	191
278	73	191
279	74	191
280	74	190
281	74	190
282	75	190
283	75	189
284	75	189
285	75	189
286	75	188
287	76	188
288	76	188
289	76	187
290	76	187
291	77	186
292	77	186
293	77	186
294	77	186
295	78	186
296	78	186
297	79	186
298	79	185
299	79	185
300	79	185
301	79	184
302	80	184
303	80	183
304	80	183
305	80	183
306	80	182
307	81	182
308	81	181
309	81	181
310	81	181
311	82	180
312	82	180
313	82	180
314	82	179
315	82	179
316	83	179
317	83	178
318	83	178
319	83	178
320	84	177
321	84	177
322	84	177
323	84	176
324	84	176
325	85	175
326	85	175
327	85	175
328	85	174
329	86	174
330	86	174
331	86	173
332	86	173
333	86	173
334	87	173
335	87	172
336	87	172
337	87	171
338	88	171
339	88	171
340	88	170
341	88	170
342	88	170
343	89	169
344	89	169
345	89	169
346	89	168
347	89	168
348	90	168
349	90	167
350	90	167
351	90	167
352	91	166
353	91	166
354	91	166
355	91	165
356	91	165
357	92	165
358	92	164
359	92	164
360	93	164
361	93	164
362	93	164
363	93	164
364	94	163
365	94	163
366	94	163
367	94	162
368	95	162
369	95	162
370	95	161
371	95	161
372	95	161
373	96	160
374	96	160
375	96	160
376	96	160
377	97	159
378	97	159
379	97	159
380	97	158
381	97	158
382	98	158
383	98	157
384	98	157
385	98	157
386	99	156
387	99	156
388	99	156
389	99	155
390	99	155
391	100	155
392	100	154
393	100	154
394	100	154
395	101	154
396	101	153
397	101	153
398	101	153
399	101	152
400	102	152
401	102	152
402	102	151
403	102	151
404	103	151
405	103	151
406	103	150
407	103	150
408	103	150
409	104	149
410	104	149
411	104	149
412	104	148
413	104	148
414	105	148
415	105	147
416	105	147
417	105	147
418	106	147
419	106	146
420	106	146
421	106	146
422	106	145
423	107	145
424	107	145
425	107	144
426	108	144
427	108	144
428	108	144
429	108	144
430	109	144
431	109	143
432	110	144
433	110	144
434	110	144
435	111	143
436	111	143
437	111	143
438	111	143
439	112	142
440	112	142
441	112	142
442	112	141
443	113	141
444	113	141
445	113	141
446	114	141
447	114	141
448	115	141
449	115	140
450	115	140
451	115	140
452	115	139
453	116	139
454	116	139
455	116	139
456	116	138
457	117	138
458	117	138
459	117	137
460	117	137
461	117	137
462	118	137
463	119	137
464	119	137
465	119	136
466	119	136
467	119	136
468	120	136
469	120	135
470	120	135
471	120	135
472	121	134
473	121	134
474	121	134
475	121	133
476	121	133
477	122	133
478	122	133
479	122	132
480	122	132
481	122	132
482	123	132
483	123	131
484	123	131
485	124	131
486	124	131
487	124	130
488	125	130
489	125	130
490	125	130
491	125	129
492	126	129
493	126	129
494	126	129
495	126	128
496	127	128
497	127	128
498	127	127
499	127	127
500	128	127
501	128	127
502	128	126
503	128	126
504	128	126
505	129	126
506	129	125
507	129	125
508	129	125
509	129	124
510	130	124
511	130	124
512	130	124
513	130	123
514	131	124
515	132	123
516	132	123
517	132	123
518	132	123
519	133	122
520	133	122
521	133	122
522	134	122
523	134	122
524	134	121
525	134	121
526	135	121
527	135	121
528	135	120
529	135	120
530	136	120
531	136	120
532	136	119
533	137	119
534	137	119
535	137	119
536	138	119
537	138	118
538	138	118
539	139	118
540	139	118
541	139	117
542	139	117
543	139	117
544	140	117
545	140	116
546	140	116
547	140	116
548	141	115
549	141	115
550	141	115
551	141	115
552	142	114
553	142	114
554	142	114
555	142	113
556	142	113
557	143	113
558	143	113
559	143	112
560	143	112
561	143	112
562	144	111
563	144	111
564	144	111
565	144	111
566	145	110
567	145	110
568	145	110
569	145	110
570	146	109
571	146	109
572	146	109
573	146	108
574	147	108
575	147	108
576	147	108
577	147	107
578	147	107
579	148	107
580	148	107
581	148	106
582	149	106
583	149	106
584	149	106
585	149	105
586	150	105
587	150	105
588	150	105
589	150	104
590	150	104
591	151	104
592	151	103
593	151	103
594	151	103
595	152	103
596	152	102
597	152	102
598	152	102
599	152	101
600	153	101
601	153	101
602	153	101
603	154	101
604	156	102
605	156	102
606	157	101
607	157	101
608	157	101
609	157	100
610	158	100
611	158	100
612	158	100
613	158	99
614	159	99
615	159	99
616	159	99
617	159	98
618	159	98
619	160	98
620	160	97
621	160	97
622	160	97
623	161	97
624	161	96
625	161	96
626	161	96
627	161	95
628	162	95
629	162	95
630	162	95
631	162	94
632	163	94
633	163	94
634	163	93
635	163	93
636	163	93
637	164	93
638	164	92
639	164	92
640	164	92
641	165	92
642	165	91
643	165	91
644	165	91
645	165	90
646	166	90
647	166	90
648	166	90
649	166	89
650	167	89
651	167	89
652	167	89
653	167	88
654	168	88
655	168	88
656	168	88
657	169	87
658	169	87
659	169	87
660	169	87
661	169	86
662	170	86
663	170	86
664	170	85
665	170	85
666	171	85
667	171	85
668	171	84
669	171	84
670	172	84
671	172	84
672	172	83
673	172	83
674	172	83
675	173	82
676	173	82
677	173	82
678	173	82
679	174	81
680	174	81
681	174	81
682	174	81
683	174	80
684	175	80
685	175	80
686	175	79
687	175	79
688	176	79
689	176	79
690	176	78
691	176	78
692	176	78
693	177	78
694	177	77
695	177	77
696	177	77
697	178	77
698	178	76
699	178	76
700	178	76
701	178	75
702	179	75
703	179	75
704	179	75
705	179	74
706	180	74
707	180	74
708	180	74
709	180	73
710	181	73
711	181	73
712	181	73
713	181	72
714	182	72
715	182	72
716	183	72
717	183	72
718	183	71
719	183	71
720	184	71
721	184	70
722	184	70
723	184	70
724	185	70
725	185	69
726	185	69
727	185	69
728	185	69
729	186	68
730	186	68
731	186	68
732	186	68
733	187	67
734	187	67
735	187	67
736	187	66
737	187	66
738	188	66
739	188	66
740	188	65
741	188	65
742	189	65
743	189	65
744	189	64
745	189	64
746	190	64
747	190	64
748	190	63
749	190	63
750	190	63
751	191	63
752	191	62
753	191	62
754	191	62
755	192	62
756	192	61
757	192	61
758	192	61
759	193	61
760	193	60
761	193	60
762	193	60
763	194	59
764	194	59
765	194	59
766	194	59
767	195	59
768	195	58
769	195	58
770	196	58
771	196	58
772	196	57
773	197	57
774	198	57
775	198	57
776	198	57
777	198	56
778	199	56
779	199	56
780	199	55
781	199	55
782	200	55
783	200	55
784	200	54
785	200	54
786	201	54
787	201	54
788	201	53
789	202	53
790	202	53
791	202	53
792	202	52
793	203	52
794	203	52
795	203	52
796	204	52
797	204	51
798	204	51
799	204	51
800	205	50
801	205	50
802	205	50
803	205	50
804	206	49
805	206	49
806	206	49
807	206	49
808	207	48
809	207	48
810	207	48
811	207	48
812	207	47
813	208	47
814	208	47
815	208	47
816	208	46
817	208	46
818	209	46
819	209	45
820	209	45
821	209	45
822	210	45
823	210	44
824	210	44
825	210	44
826	211	44
827	211	43
828	211	43
829	211	43
830	212	43
831	212	42
832	212	42
833	212	42
834	212	42
835	213	41
836	213	41
837	214	41
838	214	41
839	215	40
840	215	40
841	215	40
842	215	40
843	215	39
844	216	39
845	216	39
846	216	39
847	216	38
848	217	38
849	217	38
850	217	38
851	217	37
852	217	37
853	218	37
854	218	37
855	218	36
856	219	36
857	220	36
858	220	36
859	220	35
860	220	35
861	221	35
862	221	35
863	221	34
864	222	34
865	222	34
866	222	34
867	222	33
868	223	33
869	223	33
870	223	33
871	223	32
872	223	32
873	224	32
874	224	32
875	224	31
876	224	31
877	225	31
878	225	31
879	225	30
880	225	30
881	225	30
882	226	29
883	226	29
884	226	29
885	226	29
886	227	28
887	227	28
888	227	28
889	228	28
890	228	27
891	228	27
892	228	27
893	229	27
894	229	26
895	229	26
896	229	26
897	229	26
898	230	25
899	230	25
900	230	25
901	230	25
902	231	24
903	231	24
904	231	24
905	231	24
906	231	23
907	232	23
908	232	23
909	232	23
910	232	22
911	233	22
912	233	22
913	233	21
914	233	21
915	234	21
916	234	21
917	234	20
918	234	20
919	234	20
920	235	20
921	235	19
922	235	19
923	235	19
924	236	19
925	236	18
926	236	18
927	236	18
928	237	18
929	237	17
930	237	17
931	237	17
932	237	17
933	238	16
934	238	16
935	238	16
936	238	16
937	239	15
938	239	15
939	239	15
940	239	15
941	240	14
942	240	14
943	240	14
944	241	14
945	241	13
946	241	13
947	241	13
948	242	13
949	242	12
950	242	12
951	242	12
952	243	11
953	243	11
954	243	11
955	243	11
956	244	10
957	244	10
958	244	10
959	244	10
960	245	9
961	245	9
962	245	9
963	245	9
964	245	8
965	246	8
966	246	8
967	246	8
968	246	7
969	247	7
970	247	7
971	247	7
972	247	6
973	247	6
974	248	6
975	248	6
976	248	5
977	248	5
978	249	5
979	249	5
980	249	4
981	249	4
982	250	4
983	250	4
984	250	3
985	250	3
986	250	3
987	251	3
988	251	2
989	251	2
990	251	2
991	252	2
992	252	1
993	252	1
994	252	1
995	252	1
996	253	0
997	253	0
998	253	0
999	253	0
